"","Lot_Shape","Land_Contour","Utility","Land_Slope","Exter_Qual","Exter_Cond","Bsmt_Qual","Bsmt_Cond","Bsmt_Exposure","Bsmt_FinType1","Bsmt_FinType2","Heating_QC","Central_Air","Kitchen_Qual","Func","Fireplace_Qu","Garage_Finish","Garage_Quality","Garage_Cond","Paved_Drive","Pool_Qual","Fence_","MSSubClass","LotFrontage","LotArea","OverallCond","YearBuilt","MasVnrArea","X1stFlrSF","X2ndFlrSF","GrLivArea","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","MoSold","YrSold","SalePrice","renovation","bath","totalsf","MSZoningC","MSZoningFV","MSZoningRH","MSZoningRL","MSZoningRM","LotConfigCulDSac","LotConfigFR2","LotConfigFR3","LotConfigInside","NeighborhoodBlueste","NeighborhoodBrDale","NeighborhoodBrkSide","NeighborhoodClearCr","NeighborhoodCollgCr","NeighborhoodCrawfor","NeighborhoodEdwards","NeighborhoodGilbert","NeighborhoodIDOTRR","NeighborhoodMeadowV","NeighborhoodMitchel","NeighborhoodNAmes","NeighborhoodNoRidge","NeighborhoodNPkVill","NeighborhoodNridgHt","NeighborhoodNWAmes","NeighborhoodOldTown","NeighborhoodSawyer","NeighborhoodSawyerW","NeighborhoodSomerst","NeighborhoodStoneBr","NeighborhoodSWISU","NeighborhoodTimber","NeighborhoodVeenker","Condition1Feedr","Condition1Norm","Condition1PosA","Condition1PosN","Condition1RRAe","Condition1RRAn","Condition1RRNe","Condition1RRNn","BldgType2fmCon","BldgTypeDuplex","BldgTypeTwnhs","BldgTypeTwnhsE","HouseStyle1.5Unf","HouseStyle1Story","HouseStyle2.5Fin","HouseStyle2.5Unf","HouseStyle2Story","HouseStyleSFoyer","HouseStyleSLvl","MasVnrTypeBrkFace","MasVnrTypeNone","MasVnrTypeStone","FoundationCBlock","FoundationPConc","FoundationSlab","FoundationStone","FoundationWood","GarageTypeAttchd","GarageTypeBasment","GarageTypeBuiltIn","GarageTypeCarPort","GarageTypeDetchd","GarageTypeNone","SaleTypeCon","SaleTypeConLD","SaleTypeConLI","SaleTypeConLw","SaleTypeCWD","SaleTypeNew","SaleTypeOth","SaleTypeWD","SaleConditionAdjLand","SaleConditionAlloca","SaleConditionFamily","SaleConditionNormal","SaleConditionPartial","SalesRange"
"11",4,4,4,3,3,3,3,3,1,3,1,5,1,3,7,0,1,3,3,2,0,0,20,70,9.32366905728319,5,1965,0,1040,0,1040,3,1,5,0,2,2008,11.7714361601217,0,2,384,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category3"
"12",3,4,4,3,5,3,5,3,1,6,1,5,1,5,7,4,3,3,3,2,0,0,60,85,9.38630845479796,5,2005,286,1182,1142,2324,4,1,11,2,7,2006,12.7512996960135,3,4,904,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"category6"
"13",2,4,4,3,3,3,3,3,1,5,1,3,1,3,7,0,1,3,3,2,0,0,20,74.773,9.47024006341551,6,1962,0,912,0,912,2,1,4,0,9,2008,11.8775685785581,0,2,668,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category3"
"14",3,4,4,3,4,3,4,3,3,1,1,5,1,4,7,4,2,3,3,2,0,0,20,91,9.27350294693382,5,2006,306,1494,0,1494,3,1,7,1,8,2007,12.5407575715773,3,2,1033,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"category5"
"15",3,4,4,3,3,3,3,3,1,4,1,3,1,3,7,2,2,3,3,2,0,2,20,83.7275,9.2983512492989,5,1960,212,1253,0,1253,2,1,5,1,5,2008,11.9640010843304,0,2.5,741,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category4"
"16",4,4,4,3,3,3,3,3,1,1,1,5,1,3,7,0,1,3,3,2,0,4,45,51,8.71931737550637,8,1929,0,854,0,854,2,1,5,0,7,2007,11.7905572015685,3,1,736,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category3"
"17",3,4,4,3,3,3,3,3,1,5,1,5,1,3,7,3,3,3,3,2,0,0,20,80.615,9.3273230874618,7,1970,180,1004,0,1004,2,1,5,1,3,2010,11.9117015849276,0,2,480,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category4"
"18",4,4,4,3,3,3,0,0,0,0,0,3,1,3,7,0,1,3,3,2,0,0,90,72,9.28646773236373,5,1967,0,1296,0,1296,2,2,6,0,10,2006,11.4075649493124,0,2,516,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category2"
"19",4,4,4,3,3,3,3,3,1,6,1,5,1,4,7,0,1,3,3,2,0,0,20,66,9.52478608169718,5,2004,0,1114,0,1114,3,1,6,0,6,2008,11.9766594812024,0,2.5,678,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category4"
"20",4,4,4,3,3,3,3,3,1,2,1,3,1,3,6,0,1,3,3,2,0,3,20,70,8.93062646917358,6,1958,0,1339,0,1339,3,1,6,0,5,2009,11.8422292121128,1,1,294,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"category3"
"21",3,4,4,3,4,3,5,3,3,1,1,5,1,4,7,4,2,3,3,2,0,0,60,101,9.5620530240851,5,2005,380,1158,1218,2376,4,1,9,1,11,2006,12.6925031124614,3,3.5,1247,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"category6"
"22",4,3,4,3,3,3,3,3,1,1,1,5,1,4,7,4,1,3,3,0,0,4,45,57,8.91583507417628,7,1930,0,1108,0,1108,3,1,6,1,6,2007,11.8451027773086,1,1,485,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category3"
"23",4,4,4,3,4,3,4,3,1,1,1,5,1,4,7,4,2,3,3,2,0,0,20,75,9.18420171436649,5,2002,281,1795,0,1795,3,1,7,1,9,2008,12.3458345879053,0,2,864,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category5"
"24",4,4,4,3,3,3,4,3,1,6,1,3,1,3,7,3,1,3,3,2,0,0,120,44,8.3485378253861,7,1976,0,1060,0,1060,3,1,6,1,6,2007,11.7745202026587,0,2,782,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category3"
"25",3,4,4,3,3,4,3,3,2,3,5,5,1,4,7,3,1,3,3,2,0,3,20,72.19,9.01748351326684,8,1968,0,1060,0,1060,3,1,6,1,5,2010,11.9447078813958,3,2,766,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category4"
"26",4,4,4,3,4,3,4,3,1,1,1,5,1,4,7,4,2,3,3,2,0,0,20,110,9.5631076910839,5,2007,640,1600,0,1600,3,1,7,1,7,2009,12.4541039123522,0,2,946,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category5"
"27",4,4,4,3,3,3,3,3,2,4,3,3,1,4,7,0,1,3,3,2,0,0,20,60,8.88183630500415,7,1951,0,900,0,900,3,1,5,0,5,2010,11.8115474774603,2,1.5,830,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category3"
"28",4,4,4,3,4,3,5,3,1,6,1,5,1,4,7,4,2,3,3,2,0,0,20,98,9.34818743866831,5,2007,200,1704,0,1704,3,1,7,1,5,2010,12.6313403809345,3,3,822,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category6"
"29",3,4,4,3,3,3,3,3,4,4,1,3,1,3,7,4,2,3,3,2,0,0,20,47,9.7002079011507,6,1957,0,1600,0,1600,2,1,6,2,12,2006,12.2428866186529,3,2,865,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category5"
"30",3,4,4,3,3,3,3,3,1,1,1,2,0,2,7,0,1,2,3,2,0,0,30,60,8.75210719832936,6,1927,0,520,0,520,1,1,4,0,5,2008,11.1345890242503,1,1,376,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category1"
"31",4,4,4,3,3,2,3,3,1,1,1,3,0,3,7,0,1,3,2,0,0,3,70,50,9.04782144247841,4,1920,0,649,668,1317,3,1,6,0,7,2008,10.5966347330961,1,1,476,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category1"
"32",3,4,4,3,3,3,3,3,1,1,1,4,1,4,7,0,1,3,3,2,0,3,20,73.7526666666667,9.05298456119998,6,1966,0,1228,0,1228,3,1,6,0,6,2008,11.9140478236443,3,1.5,336,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category4"
"33",4,4,4,3,4,3,5,3,3,1,1,5,1,4,7,0,2,3,3,2,0,0,20,85,9.31009520511317,5,2007,0,1234,0,1234,3,1,7,0,1,2008,12.1001564199386,0,2,514,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category4"
"34",3,4,4,3,3,3,3,3,1,3,1,4,1,4,7,4,2,3,3,2,0,0,20,70,9.26407069439715,5,1959,0,1700,0,1700,4,1,6,1,4,2010,12.0167264737993,0,2,485,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category4"
"35",4,4,4,3,5,3,5,3,1,6,1,5,1,5,7,4,3,3,3,2,0,0,120,60,8.89740886527095,5,2005,246,1561,0,1561,2,1,6,1,8,2007,12.5335762121686,0,3,806,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category5"
"36",4,4,4,3,4,3,5,3,3,1,1,5,1,4,7,4,3,3,3,2,0,0,60,108,9.50435236812283,5,2004,132,1132,1320,2452,4,1,9,1,9,2006,12.6410965558799,3,3.5,836,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category6"
"37",4,4,4,3,3,3,4,3,1,1,1,5,1,3,7,0,1,3,3,2,0,0,20,112,9.2927495082169,5,1994,0,1097,0,1097,3,1,6,0,6,2009,11.8844890214027,2,1.5,1128,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category3"
"38",4,4,4,3,3,3,3,3,1,3,1,4,1,3,7,3,3,3,3,2,0,0,20,74,9.05157907959124,6,1954,650,1297,0,1297,3,1,5,1,10,2009,11.9381932003746,2,1.5,498,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category4"
"39",4,4,4,3,3,4,3,3,1,6,1,3,1,4,7,0,1,3,3,2,0,0,20,68,8.97739897818186,7,1953,0,1057,0,1057,3,1,5,0,1,2010,11.5991031612113,3,2,298,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"category3"
"40",4,4,4,3,3,3,0,0,0,0,0,3,0,2,7,0,0,0,0,0,0,0,90,65,8.70615929092886,5,1955,0,1152,0,1152,2,2,6,0,6,2008,11.3144745262464,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"category2"
"41",4,4,4,3,3,3,3,3,1,3,1,5,1,3,7,3,2,3,3,2,0,2,20,84,9.06623902800193,5,1965,101,1324,0,1324,3,1,6,1,12,2006,11.982929094216,0,2,578,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"category4"
"42",4,4,4,3,3,4,3,3,4,4,1,4,1,3,7,4,2,3,3,1,0,0,20,115,9.73536471514199,6,1959,0,1328,0,1328,2,1,5,2,7,2007,12.0435537160324,0,2,412,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category4"
"43",3,4,4,3,3,3,4,3,3,5,2,4,1,4,7,0,2,3,4,2,0,3,85,74.055,9.12478248361454,7,1983,0,884,0,884,2,1,5,0,12,2007,11.8775685785581,0,2,744,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category3"
"44",3,4,4,3,3,3,4,3,3,2,4,3,1,3,7,0,1,3,3,2,0,3,20,73.213,9.12695876303713,6,1975,0,938,0,938,3,1,5,0,7,2008,11.7772109596156,2,2,453,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"category3"
